fold_id,test_subject,f1_macro,precision,recall,accuracy,n_train,n_test,class_weights
1,S006,0.7032,0.7107,0.7698,0.9011,79521,5378,"{0: 1.3479963384865745, 1: 16.650125628140703, 2: 9.466785714285715, 3: 66.2675, 4: 1.2381819880418534, 5: 1.7096878224974201, 6: 2.5438579654510556, 7: 0.18880705453302182, 8: 6.80364476386037, 9: 6.124537892791127, 10: 0.7400882287245923, 11: 0.42847213241950083}"
2,S008,0.4524,0.4484,0.5839,0.9252,79391,5508,"{0: 1.2841453157349896, 1: 12.117063492063492, 2: 9.07533150434385, 3: 72.70238095238095, 4: 1.1978846037781399, 5: 1.7068928448572411, 6: 2.752045202440377, 7: 0.1913884710329399, 8: 6.696271929824562, 9: 6.080805759803922, 10: 0.7421106748925033, 11: 0.4265306341735972}"
3,S009,0.6851,0.7104,0.7349,0.8994,82851,2048,"{0: 1.8926123903508771, 1: 16.757888349514563, 2: 11.584312080536913, 3: 69.73989898989899, 4: 1.2500905305087815, 5: 1.781282249742002, 6: 2.530883431085044, 7: 0.17953168473879919, 8: 6.981041456016178, 9: 6.32257326007326, 10: 0.7113383474139707, 11: 0.4390620031796502}"
4,S010,0.6235,0.6207,0.6461,0.8386,80240,4659,"{0: 1.273165778116273, 1: 12.179720704310869, 2: 9.04826341903473, 3: 66.86666666666666, 4: 1.2106946707707165, 5: 1.7251461988304093, 6: 2.802458787370774, 7: 0.1766949413806164, 8: 7.068357998590557, 9: 6.587848932676519, 10: 0.7795134841066294, 11: 0.49777910121839253}"
5,S012,0.8022,0.798,0.8193,0.9774,79863,5036,"{0: 1.2671839299314547, 1: 12.122495446265939, 2: 9.00575101488498, 3: 66.5525, 4: 1.2611805950350579, 5: 1.729984403431245, 6: 2.5019736842105265, 7: 0.19391754079254078, 8: 6.976153039832285, 9: 6.411608863198459, 10: 0.7015865485979338, 11: 0.42550028770538967}"
6,S013,0.6271,0.6585,0.6214,0.8975,80078,4821,"{0: 1.2793647750511248, 1: 12.199573430834857, 2: 9.02999548940009, 3: 66.73166666666667, 4: 1.226685049019608, 5: 1.7427962044049796, 6: 2.9293971319871233, 7: 0.1879871166450692, 8: 7.016999649491763, 9: 6.3736071314867875, 10: 0.7359839711775302, 11: 0.4342813137229381}"
7,S014,0.5798,0.6263,0.5912,0.8975,80138,4761,"{0: 1.2892213642213641, 1: 12.164238008500304, 2: 9.036761389264772, 3: 66.78166666666667, 4: 1.2330440669620877, 5: 1.735941426219565, 6: 2.637506582411796, 7: 0.1890760664401661, 8: 7.173111349803079, 9: 6.521647135416667, 10: 0.7382452649421476, 11: 0.43213191838143306}"
8,S015,0.7209,0.7139,0.7302,0.9471,79394,5505,"{0: 1.2834464920788877, 1: 12.05130540376442, 2: 9.240456238361267, 3: 66.16166666666666, 4: 1.4085941381023348, 5: 1.724756690997567, 6: 2.5329887697805002, 7: 0.18444332933753357, 8: 7.408921239268384, 9: 6.656103286384977, 10: 0.744393189318932, 11: 0.43865057791332407}"
9,S016,0.8255,0.8082,0.8636,0.9526,80232,4667,"{0: 1.3076471738705262, 1: 12.223034734917734, 2: 9.084239130434783, 3: 66.86, 4: 1.3345309381237525, 5: 1.7415993748371972, 6: 2.6447784810126582, 7: 0.18604780588251663, 8: 6.9501039501039505, 9: 6.117108874656908, 10: 0.7354526454735453, 11: 0.4376800209478921}"
10,S017,0.6051,0.6857,0.5992,0.8984,80088,4811,"{0: 1.2856867655557696, 1: 12.474766355140186, 2: 9.57532281205165, 3: 68.10204081632654, 4: 1.3466505246166263, 5: 1.751706036745407, 6: 2.531866464339909, 7: 0.18761420178225058, 8: 7.36644591611479, 9: 6.782520325203252, 10: 0.7121972041404333, 11: 0.4353271149957602}"
11,S018,0.681,0.7247,0.7579,0.8772,80689,4210,"{0: 1.300093451920598, 1: 12.292656916514321, 2: 9.326051779935275, 3: 67.24083333333333, 4: 1.318964953576566, 5: 1.8222448057813911, 6: 2.6296767044713856, 7: 0.18386380829983684, 8: 7.13809271054494, 9: 6.49669887278583, 10: 0.7254378393929586, 11: 0.44866106180912346}"
12,S019,0.7926,0.809,0.85,0.9444,80977,3922,"{0: 1.330982905982906, 1: 12.381804281345566, 2: 9.131371222372575, 3: 67.48083333333334, 4: 1.2848597359735974, 5: 1.7706857342779674, 6: 2.5551243215953554, 7: 0.18785900541002012, 8: 7.178812056737589, 9: 6.557904114026563, 10: 0.7077171823107848, 11: 0.4383580182755186}"
13,S020,0.796,0.7966,0.8339,0.9587,80012,4887,"{0: 1.3179811556961192, 1: 12.34753086419753, 2: 9.108834244080146, 3: 66.67666666666666, 4: 1.356595456086809, 5: 1.742725213451821, 6: 2.505699611674809, 7: 0.18881620555225176, 8: 6.952728536670143, 9: 6.332067109844887, 10: 0.7002380452285935, 11: 0.4348856422297591}"
14,S021,0.5886,0.6538,0.6479,0.8167,80949,3950,"{0: 1.29204175445317, 1: 12.287340619307832, 2: 9.20293315143247, 3: 67.4575, 4: 1.3017657275183327, 5: 1.7631338212232097, 6: 2.535996240601504, 7: 0.1861923820038642, 8: 6.940072016460905, 9: 6.4245238095238095, 10: 0.7286400950529272, 11: 0.4447356276371308}"
15,S022,0.6514,0.6478,0.6852,0.8893,80519,4380,"{0: 1.3216302278248309, 1: 12.780793650793651, 2: 9.079724853405503, 3: 70.63070175438597, 4: 1.2698555387332828, 5: 1.745101863892501, 6: 2.6292776907001043, 7: 0.18331102247477507, 8: 7.269682195738533, 9: 6.559058325187357, 10: 0.7439756809698045, 11: 0.4523640980696195}"
