fold_id,test_subject,f1_macro,precision,recall,accuracy,elapsed_sec,n_train,n_test,epochs_run,f1_per_class,hyperparams
1,S006,0.6985,0.6913,0.769,0.9028,789.8,79521,5378,14,"{np.str_('Cycling_sit'): 0.764, np.str_('Cycling_sit_inact'): 0.5604, np.str_('Cycling_stand'): 0.3333, np.str_('Lying'): 0.9854, np.str_('Shuffling'): 0.4333, np.str_('Sitting'): 0.994, np.str_('Stairs_down'): 0.88, np.str_('Stairs_up'): 0.5, np.str_('Standing'): 0.8976, np.str_('Walking'): 0.6375}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
2,S008,0.4137,0.4085,0.5015,0.9281,1055.8,79391,5508,22,"{np.str_('Cycling_sit'): 0.8842, np.str_('Cycling_sit_inact'): 0.1818, np.str_('Cycling_stand'): 0.0, np.str_('Cycling_stand_inact'): 0.0, np.str_('Lying'): 0.0, np.str_('Running'): 0.0, np.str_('Shuffling'): 0.6329, np.str_('Sitting'): 0.9986, np.str_('Stairs_down'): 0.4, np.str_('Stairs_up'): 0.2424, np.str_('Standing'): 0.8441, np.str_('Walking'): 0.7809}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
3,S009,0.4565,0.4603,0.5428,0.8926,638.9,82851,2048,13,"{np.str_('Cycling_sit'): 0.966, np.str_('Cycling_sit_inact'): 0.6975, np.str_('Cycling_stand'): 0.7356, np.str_('Cycling_stand_inact'): 0.0, np.str_('Shuffling'): 0.0, np.str_('Stairs_down'): 0.0, np.str_('Stairs_up'): 0.1791, np.str_('Standing'): 0.8026, np.str_('Walking'): 0.7273}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
4,S010,0.6488,0.6345,0.6761,0.8927,1315.3,80240,4659,22,"{np.str_('Cycling_sit_inact'): 0.0, np.str_('Cycling_stand_inact'): 0.0, np.str_('Shuffling'): 0.5417, np.str_('Sitting'): 1.0, np.str_('Stairs_down'): 0.9524, np.str_('Stairs_up'): 0.8876, np.str_('Standing'): 0.8562, np.str_('Walking'): 0.9525}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
5,S012,0.8115,0.8028,0.8341,0.9825,1038.3,79863,5036,19,"{np.str_('Cycling_sit_inact'): 0.0, np.str_('Lying'): 0.9939, np.str_('Running'): 0.9825, np.str_('Shuffling'): 0.6629, np.str_('Sitting'): 0.9983, np.str_('Stairs_down'): 0.913, np.str_('Stairs_up'): 0.9524, np.str_('Standing'): 0.9354, np.str_('Walking'): 0.8652}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
6,S013,0.6877,0.7063,0.6965,0.906,718.2,80078,4821,15,"{np.str_('Cycling_sit'): 0.9091, np.str_('Cycling_sit_inact'): 0.0, np.str_('Cycling_stand_inact'): 0.0, np.str_('Lying'): 1.0, np.str_('Running'): 0.8913, np.str_('Shuffling'): 0.6962, np.str_('Sitting'): 0.9884, np.str_('Stairs_down'): 0.72, np.str_('Stairs_up'): 0.8, np.str_('Standing'): 0.8252, np.str_('Walking'): 0.7346}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
7,S014,0.5903,0.6362,0.5883,0.8992,913.9,80138,4761,18,"{np.str_('Cycling_sit'): 0.5825, np.str_('Cycling_sit_inact'): 0.0, np.str_('Cycling_stand'): 0.0, np.str_('Cycling_stand_inact'): 0.0, np.str_('Lying'): 1.0, np.str_('Running'): 0.8525, np.str_('Shuffling'): 0.4562, np.str_('Sitting'): 0.9963, np.str_('Stairs_down'): 0.8682, np.str_('Stairs_up'): 0.8589, np.str_('Standing'): 0.8247, np.str_('Walking'): 0.6438}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
8,S015,0.7887,0.7809,0.8074,0.9384,706.7,79394,5505,14,"{np.str_('Cycling_sit'): 0.9792, np.str_('Cycling_stand'): 0.9583, np.str_('Cycling_stand_inact'): 0.0, np.str_('Lying'): 1.0, np.str_('Running'): 0.9136, np.str_('Shuffling'): 0.2989, np.str_('Sitting'): 0.9994, np.str_('Stairs_down'): 0.8533, np.str_('Stairs_up'): 0.9082, np.str_('Standing'): 0.911, np.str_('Walking'): 0.8537}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
9,S016,0.8757,0.8803,0.9063,0.9616,664.4,80232,4667,12,"{np.str_('Cycling_sit'): 0.9891, np.str_('Cycling_sit_inact'): 0.5714, np.str_('Cycling_stand'): 0.8, np.str_('Lying'): 1.0, np.str_('Running'): 0.961, np.str_('Shuffling'): 0.658, np.str_('Sitting'): 0.998, np.str_('Stairs_down'): 0.9167, np.str_('Stairs_up'): 0.8889, np.str_('Standing'): 0.9382, np.str_('Walking'): 0.9111}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
10,S017,0.6587,0.6748,0.6535,0.9135,1231.5,80088,4811,22,"{np.str_('Cycling_sit'): 0.8099, np.str_('Cycling_sit_inact'): 0.0, np.str_('Cycling_stand'): 0.7368, np.str_('Cycling_stand_inact'): 0.0, np.str_('Lying'): 0.9991, np.str_('Running'): 0.9077, np.str_('Shuffling'): 0.2115, np.str_('Sitting'): 0.993, np.str_('Stairs_down'): 0.7674, np.str_('Stairs_up'): 0.9138, np.str_('Standing'): 0.799, np.str_('Walking'): 0.7659}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
11,S018,0.7185,0.737,0.8024,0.8774,728.8,80689,4210,14,"{np.str_('Cycling_sit'): 0.7023, np.str_('Cycling_sit_inact'): 0.0702, np.str_('Cycling_stand'): 0.7273, np.str_('Lying'): 1.0, np.str_('Running'): 0.9186, np.str_('Shuffling'): 0.3503, np.str_('Sitting'): 0.9987, np.str_('Stairs_down'): 0.8403, np.str_('Stairs_up'): 0.7188, np.str_('Standing'): 0.756, np.str_('Walking'): 0.8215}","{'base_filters': 64, 'lstm_units': 128, 'dropout_rate': 0.4, 'batch_size': 256, 'max_epochs': 40, 'patience': 7}"
