fold_id,test_subject,f1_macro,precision,recall,accuracy,elapsed_sec,f1_Cycling_sit,f1_Cycling_sit_inact,f1_Cycling_stand,f1_Cycling_stand_inact,f1_Lying,f1_Shuffling,f1_Sitting,f1_Stairs_down,f1_Stairs_up,f1_Standing,f1_Walking,f1_Running
1,S006,0.515,0.5273,0.653,0.7821,337.2,0.757,0.578,0.348,0.0,0.389,0.387,0.906,0.75,0.343,0.862,0.347,
2,S008,0.3933,0.4025,0.5288,0.9201,339.4,0.767,0.167,0.167,0.0,0.0,0.615,0.996,0.32,0.14,0.876,0.673,0.0
3,S009,0.4331,0.4632,0.512,0.8794,343.8,0.949,0.665,0.878,0.0,0.0,0.0,,0.276,0.132,0.853,0.579,
4,S010,0.4716,0.4528,0.5631,0.7914,344.7,,0.0,,0.0,0.0,0.444,0.986,0.48,0.633,0.864,0.838,
5,S012,0.5,0.5376,0.5366,0.9514,342.0,0.0,0.0,0.0,0.0,0.911,0.606,0.992,0.884,0.571,0.929,0.396,0.711
6,S013,0.7005,0.7304,0.7193,0.8911,345.1,0.744,0.5,,0.0,0.933,0.683,0.987,0.793,0.723,0.838,0.569,0.938
7,S014,0.5917,0.6114,0.618,0.8956,341.4,0.812,0.0,0.0,0.0,0.859,0.504,0.987,0.817,0.811,0.837,0.558,0.915
8,S015,0.6367,0.6441,0.6881,0.873,342.1,0.959,0.0,0.902,0.0,0.986,0.271,0.992,0.853,0.343,0.896,0.527,0.911
9,S016,0.6923,0.674,0.7875,0.9231,340.5,0.985,0.364,0.4,0.0,0.883,0.648,0.97,0.861,0.4,0.938,0.858,1.0
10,S017,0.594,0.5916,0.6257,0.8767,339.2,0.724,0.267,0.505,0.0,0.971,0.202,0.99,0.781,0.425,0.811,0.556,0.897
11,S018,0.619,0.617,0.7149,0.866,340.4,0.818,0.111,0.632,0.0,0.97,0.318,0.988,0.59,0.538,0.729,0.837,0.897
12,S019,0.8178,0.7943,0.8602,0.9521,346.4,0.983,0.889,,0.0,0.912,0.611,0.986,0.882,0.944,0.926,0.878,0.985
13,S020,0.7142,0.7004,0.8202,0.9382,382.5,0.916,0.367,0.933,0.0,0.973,0.417,0.993,0.596,0.809,0.822,0.819,0.925
14,S021,0.6265,0.6055,0.7262,0.8818,358.3,0.882,0.0,0.857,0.0,0.886,0.324,0.98,0.579,0.427,0.877,0.745,0.961
15,S022,0.5498,0.5808,0.6481,0.7849,363.7,0.672,0.233,0.0,0.031,0.942,0.54,0.985,0.264,0.568,0.889,0.523,0.952
16,S023,0.4798,0.4846,0.5881,0.7288,358.5,0.0,0.0,0.0,,0.903,0.291,0.836,0.178,0.479,0.888,0.719,0.985
17,S024,0.4517,0.4415,0.5386,0.7635,357.3,0.0,0.0,0.0,0.0,0.855,0.451,0.672,0.581,0.259,0.832,0.795,0.976
18,S025,0.6375,0.6385,0.7683,0.7925,358.8,0.907,0.411,0.828,0.34,0.972,0.465,0.206,0.303,0.614,0.818,0.793,0.993
19,S026,0.756,0.7354,0.8206,0.8725,362.0,0.961,0.726,0.862,0.374,,0.538,0.83,0.833,0.719,0.691,0.805,0.977
20,S027,0.3663,0.412,0.3881,0.9435,355.9,0.0,0.0,,0.0,0.96,0.651,0.476,0.0,0.0,0.265,0.679,0.998
21,S028,0.7625,0.729,0.9017,0.9579,339.5,,,,,1.0,0.377,0.971,0.391,0.71,0.907,0.983,
22,S029,0.6121,0.6206,0.6331,0.9159,337.1,0.848,0.433,0.0,0.0,0.926,0.566,0.818,0.727,0.4,0.664,0.984,0.977
